Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
6.0,7.0,6.0,3,0.857,1.0,22851,9363,8677,4363,17362,1
6.33,9.67,4.0,9,0.655,1.58,9574,3896,3241,1822,7167,1
4.91,9.0,4.64,33,0.545,1.06,22851,9363,8677,4363,17362,1
5.09,8.27,4.27,33,0.615,1.19,4725,2081,2236,839,4701,1
9.0,13.0,1.0,3,0.6920000000000001,9.0,14262,5633,4051,2220,11183,1
4.8,10.2,2.6,15,0.47100000000000003,1.85,8146,3136,3487,1699,10043,1
4.5,6.5,0.0,6,0.6920000000000001,27.0,10898,4339,4473,1919,11071,1
4.75,8.0,2.25,12,0.594,2.11,12225,4564,4832,1838,8697,1
4.31,8.31,5.08,39,0.519,0.85,2585,834,895,533,2116,1
4.97,9.09,3.0,105,0.547,1.66,32027,7722,6856,2906,26537,1
5.24,8.0,3.24,51,0.654,1.62,38951,14600,14350,6802,29988,1
3.5,7.75,2.25,12,0.452,1.56,22340,8242,8172,4019,20456,1
3.0,5.94,3.35,51,0.505,0.89,15160,4875,4808,2064,10474,1
2.67,6.67,2.33,18,0.436,1.26,12186,3762,3095,1753,8391,1
3.0,5.0,1.5,6,0.6,2.0,3040,962,917,490,3731,1
4.1,8.4,4.4,30,0.488,0.93,15437,5608,4773,2400,10953,1
5.77,10.14,3.41,66,0.57,1.69,12853,4136,4118,2190,8479,1
3.0,9.0,4.0,3,0.385,0.92,26315,6950,5359,3138,16071,1
3.43,6.29,2.57,21,0.545,1.33,15145,5987,5720,3011,10637,1
5.88,10.59,3.71,51,0.556,1.59,3994,976,894,387,2612,1
5.0,8.68,2.16,57,0.5760000000000001,2.32,15638,7402,6902,3077,16012,1
3.62,7.0,1.88,24,0.518,1.93,29089,8077,7522,3378,21922,1
4.95,8.73,4.33,387,0.5670000000000001,1.14,22081,7713,7696,3260,23242,1
5.25,9.0,2.92,36,0.583,1.8,10183,3434,3784,1965,9354,1
4.67,7.83,2.5,54,0.596,1.87,7149,2436,1960,870,6579,1
5.28,7.56,2.67,54,0.6990000000000001,1.98,21693,5828,2876,1801,13542,1
5.25,8.25,3.5,12,0.636,1.5,4223,1741,1631,1193,3775,1
4.06,7.41,2.91,102,0.5479999999999999,1.39,17342,8775,8580,3183,18558,1
