Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
6.93,12.0,5.0,42,0.5770000000000001,1.39,29617,9215,9225,5346,21255,3
8.0,14.0,5.0,3,0.5710000000000001,1.6,29617,9215,9225,5346,21255,3
6.67,11.67,6.0,9,0.5710000000000001,1.11,29617,9215,9225,5346,21255,3
5.85,9.55,2.4,60,0.613,2.44,24243,11420,10907,5355,20466,3
5.75,10.62,5.38,24,0.541,1.07,52699,14043,11757,5867,45042,3
3.74,6.84,3.33,129,0.5479999999999999,1.13,37058,12906,14456,6817,50459,3
4.24,7.05,2.86,63,0.601,1.48,37058,12906,14456,6817,50459,3
4.2,7.4,1.6,15,0.7140000000000001,5.0,33513,14642,16722,7185,44187,3
6.0,10.0,6.0,3,0.6,1.0,19295,7408,6781,3632,19392,3
4.36,8.27,2.94,99,0.527,1.48,19295,7408,6781,3632,19392,3
4.73,9.0,4.6,90,0.526,1.03,37753,11943,12030,5577,38198,3
6.5,12.0,3.75,12,0.542,1.73,29790,13664,15295,6333,38137,3
4.36,8.48,4.16,75,0.514,1.05,37753,11943,12030,5577,38198,3
5.75,10.25,4.5,36,0.561,1.28,26363,8960,9666,4297,25699,3
5.95,10.88,4.68,123,0.547,1.27,15012,2840,1817,1637,13573,3
5.07,8.8,3.2,45,0.5760000000000001,1.58,37058,12906,14456,6817,50459,3
5.64,9.28,3.36,75,0.608,1.68,873,235,110,146,325,3
15.3,20.9,4.2,30,0.732,3.64,22262,7391,8942,4394,24294,3
5.2,10.29,3.97,105,0.506,1.31,31613,10048,9892,4311,32742,3
4.0,6.67,2.67,9,0.6,1.5,37280,10153,9455,4616,37421,3
5.37,7.37,1.59,81,0.7290000000000001,3.37,1121,379,385,209,578,3
2.78,4.89,2.22,27,0.568,1.25,41606,13122,11709,7158,36887,3
6.59,10.32,4.09,66,0.639,1.61,12153,4778,4358,2058,13170,3
6.15,9.69,3.23,39,0.635,1.9,12153,4778,4358,2058,13170,3
5.36,9.75,4.33,108,0.55,1.24,3097,611,348,203,2498,3
5.97,10.65,4.74,93,0.561,1.26,47623,16195,15244,7866,45259,3
5.5,11.0,7.5,6,0.5,0.73,54352,16320,16109,9962,59329,3
4.14,8.79,2.64,42,0.47200000000000003,1.57,42008,11832,9696,4712,38743,3
5.54,9.17,2.91,441,0.8,0.57,5897,1881,1503,963,4209,3
4.94,9.06,4.06,54,0.546,1.22,30521,11753,12667,4887,30318,3
4.53,8.42,3.26,57,0.5379999999999999,1.39,49972,16819,17188,8137,44570,3
4.88,9.33,3.12,72,0.522,1.56,23333,7860,7582,4427,20118,3
5.63,11.08,4.37,426,0.508,1.29,30344,8631,6270,3580,21289,3
3.92,7.03,3.6,120,0.5589999999999999,1.09,37038,13591,14854,6469,45547,3
6.7,11.1,5.8,30,0.604,1.16,42666,11641,12459,5959,47296,3
6.83,12.17,4.5,18,0.562,1.52,16822,5420,5724,3204,19669,3
3.55,6.27,4.64,33,0.565,0.76,45168,14309,15156,6939,37961,3
5.65,10.46,3.58,78,0.54,1.58,35294,13184,11797,7723,26021,3
7.0,12.0,4.0,3,0.583,1.75,41867,12897,12917,7101,41384,3
4.0,7.75,5.5,12,0.516,0.73,41666,14466,14460,6938,45060,3
7.67,11.33,3.33,9,0.6759999999999999,2.3,41867,12897,12917,7101,41384,3
5.53,10.8,3.33,45,0.512,1.66,16822,5420,5724,3204,19669,3
6.0,10.28,4.89,54,0.584,1.23,27900,9523,9567,5317,23369,3
3.6,8.2,3.6,15,0.439,1.0,46377,16092,17159,8141,51306,3
5.75,9.82,4.14,153,0.585,1.39,13035,3082,3735,1434,13278,3
6.1,10.81,3.71,52,0.564,1.64,484,73,4,7,232,3
4.21,8.15,3.63,1107,0.517,1.16,16066,4831,5059,2334,21444,3
4.24,8.1,3.69,1686,0.524,1.15,16066,4831,5059,2334,21444,3
6.48,11.37,3.04,81,0.57,2.13,35726,11062,10278,5869,31364,3
4.87,8.68,3.61,93,0.561,1.35,18152,8646,8322,3212,11780,3
6.38,11.62,3.62,16,0.5479999999999999,1.76,810,135,13,11,528,3
