Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
10.0,24.67,6.0,9,0.45,1.67,25334,8576,8249,4314,17316,1
4.03,7.66,2.81,96,0.527,1.43,11762,3683,3055,1252,9513,1
4.3,7.48,2.65,69,0.5760000000000001,1.62,21063,7426,6822,4124,13342,1
5.0,8.73,3.14,66,0.573,1.59,16311,7399,5967,2424,15034,1
6.0,12.5,3.75,12,0.48,1.6,34201,14378,15183,5237,27111,1
4.32,7.62,2.12,333,0.5670000000000001,2.04,2030,583,618,297,1649,1
7.0,11.67,3.33,9,0.6,2.1,830,257,255,157,446,1
5.64,9.3,3.73,99,0.606,1.51,9767,4087,3721,1566,9256,1
4.38,9.25,4.38,24,0.473,1.0,8339,3442,3722,1631,8546,1
5.06,10.29,3.94,51,0.491,1.28,10776,3394,3101,1638,9465,1
5.15,9.15,2.62,39,0.563,1.97,3275,917,765,562,2286,1
4.82,8.64,2.73,33,0.5579999999999999,1.77,1057,423,424,234,853,1
4.0,6.75,2.42,36,0.593,1.66,721,196,181,111,557,1
3.0,9.33,5.0,9,0.357,0.73,8339,3442,3722,1631,8546,1
4.22,7.35,2.26,69,0.574,1.87,18432,5013,3621,1689,12507,1
5.29,9.86,3.29,21,0.536,1.61,18971,7825,7886,2930,19124,1
6.75,10.0,1.75,12,0.675,3.86,55039,21204,20967,10487,63122,1
4.17,8.33,2.5,18,0.5,1.67,31203,11932,11160,4859,27283,1
4.65,7.55,4.95,60,0.616,0.94,27589,9483,8687,4480,26314,1
4.92,8.66,2.39,474,0.568,2.06,33556,11019,10659,5581,25423,1
15.0,32.0,7.0,3,0.469,2.14,40594,11443,11502,4836,24343,1
4.65,8.18,5.24,51,0.568,0.89,27589,9483,8687,4480,26314,1
2.0,5.0,2.5,6,0.424,0.68,20744,5808,4715,3005,13035,1
6.5,10.0,2.0,6,0.65,3.25,6082,1970,2234,889,5628,1
15.0,32.0,7.0,3,0.469,2.14,40594,11443,11502,4836,24343,1
5.31,10.25,2.81,48,0.518,1.89,14976,5954,6181,3032,15040,1
8.0,20.0,10.0,6,0.408,0.82,33724,11730,11332,5490,28630,1
5.4,9.8,2.8,15,0.551,1.93,15506,5996,5392,2153,16604,1
5.44,9.19,3.19,48,0.5920000000000001,1.71,15117,4831,4827,2707,9371,1
5.0,8.44,2.69,48,0.593,1.86,31203,11932,11160,4859,27283,1
3.0,5.21,1.79,57,0.5760000000000001,1.68,12166,4089,4159,2194,13883,1
3.8,6.4,2.0,15,0.594,1.9,6764,1841,1545,1258,5248,1
5.33,11.33,3.33,9,0.471,1.6,39356,14107,12790,6567,28025,1
9.0,11.0,5.0,3,0.818,1.8,5561,1862,1987,1063,5235,1
4.5,7.0,3.5,12,0.643,1.29,1769,575,426,290,1203,1
5.0,12.0,5.0,3,0.417,1.0,28913,10244,9790,4433,24542,1
5.0,9.0,6.0,3,0.556,0.83,9430,2818,2640,1596,10800,1
5.05,8.88,2.77,219,0.569,1.83,62843,20871,20130,7713,54425,1
5.75,9.62,4.62,24,0.597,1.24,33229,9591,8703,5421,26664,1
4.75,7.0,1.5,12,0.679,3.17,3172,963,881,398,3307,1
9.77,19.5,12.41,66,1.0,3.0,9454,2674,882,877,7727,1
6.0,16.0,5.0,3,0.423,1.16,13794,4467,4216,2243,8564,1
4.85,8.54,3.46,39,0.568,1.4,20438,6127,6102,2859,17153,1
4.55,8.95,5.39,114,0.6,1.75,2683,1113,803,333,2660,1
4.29,8.38,2.75,144,0.512,1.56,10690,3494,2842,1789,8561,1
4.13,8.07,3.4,45,0.512,1.22,4307,921,711,564,3744,1
4.0,11.0,7.0,3,0.385,0.88,19329,5857,5870,2302,12692,1
3.0,6.0,3.0,3,0.5,1.0,21311,9246,8581,3396,25136,1
5.5,8.88,2.5,24,0.62,2.2,6992,2032,1643,807,4232,1
7.0,11.0,3.0,3,0.636,2.33,13195,4785,3707,2616,12079,1
4.34,7.6,1.99,288,0.5710000000000001,2.18,17733,5216,4544,2357,13333,1
6.5,11.0,6.0,6,0.591,1.08,601,195,125,124,345,1
19.0,40.0,17.0,6,0.475,1.12,30616,10904,11818,5586,25808,1
2.89,5.67,2.11,27,0.51,1.37,21134,6843,6354,2745,18887,1
7.0,9.0,4.0,3,0.778,1.75,25602,8081,8095,3070,18715,1
6.67,11.0,1.67,9,0.606,4.0,9053,2763,2197,1383,7172,1
5.07,8.64,2.75,132,0.5870000000000001,1.84,15990,5367,4942,2034,15217,1
5.25,9.5,1.25,12,0.5529999999999999,4.2,5959,1400,1220,633,3444,1
6.5,9.5,4.0,6,0.684,1.62,16276,5423,5970,2619,12577,1
6.1,12.4,3.7,30,0.492,1.65,19156,7944,9201,3487,14056,1
4.67,6.67,2.33,9,0.7,2.0,19776,7354,7278,3168,16733,1
6.5,10.67,2.0,18,0.609,3.25,24465,5805,4054,2611,13480,1
5.0,8.88,4.38,24,0.563,1.14,13505,4415,3768,2375,8727,1
7.94,15.22,7.17,54,0.522,1.11,31844,11092,9881,5167,25382,1
6.0,10.0,5.5,6,0.6,1.09,20467,5105,3906,1837,12890,1
14.0,28.0,7.2,15,0.5,1.94,26091,7324,6896,3217,14908,1
6.88,10.0,3.38,24,0.688,2.04,5781,1755,1263,1006,4182,1
8.0,10.5,5.75,12,0.762,1.39,8929,3425,3387,1694,8402,1
5.75,10.35,2.85,60,0.556,2.02,41955,11476,10547,5218,27388,1
13.6,21.0,3.2,15,0.648,4.25,17495,5414,4541,2212,10177,1
4.46,8.0,3.23,39,0.5579999999999999,1.38,7748,2848,2583,1512,9036,1
8.0,12.0,1.0,3,0.667,8.0,27637,12573,10808,5274,20381,1
4.83,8.7,2.08,120,0.555,2.33,37474,9702,7717,4474,25014,1
5.0,8.0,3.0,3,0.625,1.67,19484,6021,5867,3474,18903,1
6.22,12.33,3.22,27,0.505,1.93,18027,5338,4640,1946,14736,1
4.83,8.17,4.0,18,0.5920000000000001,1.21,22520,8164,8201,4142,25118,1
5.22,8.56,1.44,27,0.61,3.62,10858,3397,2667,1163,6039,1
4.27,7.67,3.73,45,0.557,1.14,26369,7727,6239,4909,21337,1
4.1,8.1,2.3,30,0.506,1.78,12920,3396,2259,1739,6504,1
5.97,8.84,1.56,96,0.675,3.82,897,234,141,126,391,1
5.21,8.14,3.79,42,0.64,1.38,13469,4692,4283,1769,10241,1
5.08,10.33,4.08,36,0.492,1.24,54559,13669,12401,5510,42736,1
6.88,10.25,1.88,24,0.6709999999999999,3.67,22342,8393,7212,3241,15739,1
5.0,10.0,1.0,3,0.5,5.0,10759,4144,3426,1941,7288,1
5.38,9.54,2.77,39,0.565,1.94,14447,5060,5127,2391,13991,1
4.14,6.71,2.93,42,0.617,1.41,4812,2031,2183,962,5009,1
4.33,7.33,4.67,9,0.591,0.93,3181,764,494,337,2039,1
17.89,35.67,15.11,27,0.502,1.18,34572,12290,11193,5761,24037,1
5.0,8.88,3.75,24,0.563,1.33,18305,5572,3628,3293,11440,1
4.96,9.31,3.67,156,0.5329999999999999,1.35,17171,5742,5585,2647,11732,1
5.46,8.23,3.23,39,0.664,1.69,24826,7730,6988,3618,19184,1
5.17,8.58,1.88,72,0.602,2.76,10858,3397,2667,1163,6039,1
6.25,11.81,2.81,48,0.529,2.22,25261,8799,9261,5275,21785,1
4.63,8.58,2.84,57,0.54,1.63,23665,9537,10660,3788,19822,1
6.0,9.0,3.0,3,0.667,2.0,26346,8309,9069,3673,22320,1
5.19,10.62,2.12,78,0.489,2.45,10526,3498,3893,1671,10189,1
20.67,51.0,25.0,9,0.417,0.78,39413,9849,7885,3238,28727,1
7.11,13.67,5.56,27,0.595,1.22,9214,3106,2750,1280,6876,1
5.67,9.17,1.67,18,0.618,3.4,18774,5642,4743,2668,14316,1
4.63,8.58,2.84,57,0.54,1.63,23665,9537,10660,3788,19822,1
10.3,20.4,10.9,30,0.505,0.94,18990,7592,7557,3472,19179,1
5.22,9.81,2.37,81,0.532,2.2,10819,2729,2184,1087,5295,1
6.25,9.17,2.25,36,0.682,2.78,21883,6110,5195,2598,13850,1
8.0,11.0,2.0,3,0.727,4.0,13016,3353,2371,1771,7046,1
4.0,9.0,6.0,3,0.444,0.67,15833,5275,4340,2405,12912,1
4.69,7.66,3.83,87,0.667,0.71,10827,2831,1950,1508,9277,1
3.67,9.67,2.0,9,0.379,1.83,279,64,35,41,74,1
4.2,7.6,2.6,15,0.5529999999999999,1.62,7539,3247,2760,1394,5653,1
3.96,6.64,3.32,75,0.596,1.19,34345,8281,5996,2331,29383,1
6.67,11.33,1.67,9,0.588,4.0,2836,1337,1407,571,2196,1
3.5,7.25,3.5,12,0.483,1.0,21419,7983,8019,3761,16954,1
5.0,11.0,7.0,3,0.455,0.71,693,264,252,142,668,1
8.56,15.0,3.33,27,0.57,2.57,10158,3150,2665,1371,5878,1
3.0,4.0,4.0,3,0.75,0.75,13047,3834,3821,1811,8675,1
4.35,8.5,2.7,60,0.512,1.61,4326,1265,1393,685,3811,1
2.88,4.75,3.0,24,0.605,0.96,33907,11235,11008,5606,30133,1
7.0,8.0,7.0,3,0.875,1.0,1664,579,635,343,1693,1
5.67,10.0,3.95,63,0.5670000000000001,1.43,43482,10052,9550,4147,36514,1
6.0,9.93,2.53,45,0.604,2.37,5276,1825,1605,833,4235,1
4.21,6.54,1.75,72,0.643,2.4,1075,333,276,248,721,1
4.0,7.8,2.0,15,0.513,2.0,25738,10604,11009,4794,22351,1
5.42,9.21,2.24,114,0.589,2.42,861,240,161,147,484,1
15.0,33.0,18.0,3,0.455,0.83,29634,9812,7003,4539,18017,1
5.25,11.25,7.92,36,0.467,0.66,16155,6888,6521,3622,18176,1
5.5,9.7,3.6,30,0.5670000000000001,1.53,11586,4130,4252,1883,10825,1
4.77,7.92,1.77,39,0.602,2.7,11507,4567,5178,2266,9935,1
5.68,11.04,3.57,84,0.75,2.25,16156,5828,6444,2797,18462,1
4.43,8.71,3.79,42,0.508,1.17,18012,5659,4660,2269,12930,1
6.0,10.0,2.0,3,0.6,3.0,41064,14654,15861,6936,40371,1
2.8,5.8,1.0,15,0.483,2.8,29356,11223,10533,4528,24697,1
2.0,6.5,2.5,6,0.4479999999999999,1.25,1230,311,310,165,794,1
6.43,9.57,3.14,21,0.672,2.05,23210,6589,6307,3201,17571,1
5.57,9.29,4.57,42,0.6,1.22,12510,4428,5110,2771,9808,1
3.0,4.0,2.0,3,0.75,1.5,37510,11605,10062,5018,22945,1
6.2,11.2,2.4,15,0.5539999999999999,2.58,18897,6208,5609,2738,15793,1
4.89,8.58,3.63,57,0.5710000000000001,1.35,29364,9991,10260,4708,26503,1
6.0,10.0,1.75,12,0.6,3.43,437,100,80,73,177,1
8.0,13.0,3.5,6,0.615,2.29,34228,10803,8734,3056,23450,1
8.0,12.5,3.0,6,0.64,2.67,29666,10594,9624,3646,20527,1
4.6,7.8,3.6,15,0.59,1.28,41293,18331,18840,8909,42167,1
5.0,12.0,5.0,3,0.417,1.0,37301,9478,7981,3644,30827,1
4.88,9.75,3.5,24,0.5,1.39,8741,3897,3456,1979,10651,1
3.38,6.46,2.59,546,0.523,1.3,37945,10862,9942,3717,29621,1
6.2,10.65,3.1,60,0.5820000000000001,2.0,11021,3160,2781,1981,8403,1
2.5,4.5,0.5,6,0.556,5.0,34696,10310,10058,4741,29850,1
5.0,11.0,3.0,3,0.455,1.67,22856,12120,12927,4780,26836,1
3.4,7.2,2.0,15,0.472,1.7,34724,12491,10208,4355,30896,1
5.5,11.0,2.5,12,0.5,2.2,13856,6240,7407,2871,10864,1
6.0,7.0,6.0,3,0.857,1.0,22851,9363,8677,4363,17362,1
6.33,9.67,4.0,9,0.655,1.58,9574,3896,3241,1822,7167,1
4.91,9.0,4.64,33,0.545,1.06,22851,9363,8677,4363,17362,1
5.09,8.27,4.27,33,0.615,1.19,4725,2081,2236,839,4701,1
9.0,13.0,1.0,3,0.6920000000000001,9.0,14262,5633,4051,2220,11183,1
4.8,10.2,2.6,15,0.471,1.85,8146,3136,3487,1699,10043,1
4.5,6.5,0.0,6,0.6920000000000001,27.0,10898,4339,4473,1919,11071,1
4.75,8.0,2.25,12,0.594,2.11,12225,4564,4832,1838,8697,1
4.31,8.31,5.08,39,0.519,0.85,2585,834,895,533,2116,1
4.97,9.09,3.0,105,0.547,1.66,32027,7722,6856,2906,26537,1
5.24,8.0,3.24,51,0.654,1.62,38951,14600,14350,6802,29988,1
3.5,7.75,2.25,12,0.452,1.56,22340,8242,8172,4019,20456,1
3.0,5.94,3.35,51,0.505,0.89,15160,4875,4808,2064,10474,1
2.67,6.67,2.33,18,0.436,1.26,12186,3762,3095,1753,8391,1
3.0,5.0,1.5,6,0.6,2.0,3040,962,917,490,3731,1
4.1,8.4,4.4,30,0.488,0.93,15437,5608,4773,2400,10953,1
5.77,10.14,3.41,66,0.57,1.69,12853,4136,4118,2190,8479,1
3.0,9.0,4.0,3,0.385,0.92,26315,6950,5359,3138,16071,1
3.43,6.29,2.57,21,0.545,1.33,15145,5987,5720,3011,10637,1
5.88,10.59,3.71,51,0.556,1.59,3994,976,894,387,2612,1
5.0,8.68,2.16,57,0.5760000000000001,2.32,15638,7402,6902,3077,16012,1
3.62,7.0,1.88,24,0.518,1.93,29089,8077,7522,3378,21922,1
4.95,8.73,4.33,387,0.5670000000000001,1.14,22081,7713,7696,3260,23242,1
