Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
5.47,10.2,3.73,45,0.536,1.46,20775,6531,6214,2901,19733,2
6.2,10.2,4.0,15,0.608,1.55,25062,8716,10076,3637,26159,2
5.25,9.88,4.75,24,0.532,1.11,34817,10085,10517,4317,29223,2
4.61,7.7,5.13,69,0.599,0.9,13808,5701,5645,1672,11171,2
4.86,8.29,2.43,21,0.586,2.0,4290,1362,1508,706,3926,2
5.4,9.4,4.2,30,0.574,1.29,32464,10147,8383,4915,20196,2
5.0,9.55,3.64,33,0.529,1.5,6288,2301,2068,1549,5965,2
6.65,11.1,3.85,60,0.599,1.73,2475,644,460,303,1368,2
4.54,9.04,4.11,138,0.857,0.6,32757,10986,11562,6140,31249,2
4.21,7.82,3.47,171,0.5379999999999999,1.21,4712,1774,1656,782,3667,2
8.25,14.5,3.75,12,0.569,2.2,4712,1774,1656,782,3667,2
2.43,4.04,1.36,84,0.602,1.79,26084,13305,13512,5785,23662,2
7.5,12.5,4.5,6,0.6,1.67,22423,8250,8636,4162,25202,2
5.0,9.55,3.64,33,0.524,1.38,6288,2301,2068,1549,5965,2
18.5,30.88,5.5,24,0.599,3.36,19681,3927,2226,972,9833,2
5.26,9.45,3.23,93,0.556,1.63,62264,20803,18746,8145,55383,2
6.5,12.5,4.0,12,0.52,1.62,50088,13138,10715,5751,52603,2
6.43,11.14,5.43,21,0.5770000000000001,1.18,28066,8853,9764,5028,28157,2
5.93,10.43,4.14,42,0.568,1.43,28066,8853,9764,5028,28157,2
4.06,7.0,1.53,102,0.58,2.65,3991,1293,998,616,2195,2
5.19,9.06,4.53,108,0.574,1.15,50711,20247,20546,11099,57603,2
6.25,11.0,5.25,12,0.568,1.19,38511,12800,13602,5889,39514,2
5.65,9.47,5.47,51,0.596,1.03,50711,20247,20546,11099,57603,2
2.28,5.0,2.61,54,0.456,0.87,23460,8081,7500,3464,18655,2
3.37,4.52,1.48,81,0.746,2.27,455,134,113,55,317,2
4.56,9.56,3.33,27,0.477,1.37,33170,12378,12932,5701,26725,2
5.41,9.26,1.88,219,0.584,2.88,3991,1293,998,616,2195,2
3.04,5.78,2.11,81,0.526,1.44,47416,15194,16142,8176,40084,2
5.05,10.05,4.32,57,0.503,1.17,25649,5536,4234,2018,19935,2
8.0,15.0,4.0,3,0.5329999999999999,2.0,12277,4831,4606,2847,10449,2
4.7,9.14,4.32,111,0.515,1.09,25649,5536,4234,2018,19935,2
3.58,6.65,3.11,222,0.539,1.15,36840,14399,15584,6822,38907,2
5.22,9.42,3.19,207,0.5539999999999999,1.64,54944,11726,9728,4639,41026,2
5.7,9.1,2.0,20,0.626,2.85,427,84,24,32,136,2
4.26,7.84,3.12,327,0.5429999999999999,1.36,23486,9809,9910,4625,26847,2
4.29,7.71,2.14,21,0.556,2.0,23486,9809,9910,4625,26847,2
5.04,10.36,3.64,84,0.486,1.38,44766,9385,7083,3262,32946,2
6.4,10.6,4.3,30,0.604,1.49,52764,13534,11997,8105,39093,2
6.0,8.0,3.0,3,0.75,2.0,47383,17752,19778,9062,51140,2
5.23,10.43,4.04,402,0.501,1.29,40784,14109,15823,7107,45659,2
2.54,4.57,1.89,105,0.556,1.35,4291,1564,1435,845,3842,2
11.0,14.5,8.0,6,0.759,1.38,4291,1564,1435,845,3842,2
5.41,10.48,3.83,297,0.516,1.41,40784,14109,15823,7107,45659,2
5.74,10.02,4.26,132,0.573,1.35,1194,153,42,31,923,2
4.8,10.4,2.4,15,0.462,2.0,27728,8999,10196,4418,35480,2
6.84,11.08,3.16,75,0.617,2.16,5066,1300,1078,816,3937,2
6.86,11.71,3.86,21,0.585,1.78,5066,1300,1078,816,3937,2
5.38,10.0,3.88,24,0.5379999999999999,1.39,71013,14621,11627,5395,62508,2
4.93,9.93,3.21,42,0.496,1.53,6202,2577,2628,1272,6698,2
0.0,7.0,2.0,3,0.0,0.0,24806,7190,6324,2698,19052,2
5.07,8.5,2.86,28,0.597,1.77,883,155,38,32,392,2
6.49,10.1,2.59,204,0.642,2.51,3942,1223,755,595,2166,2
5.65,11.12,3.41,51,0.508,1.66,20281,6260,5671,3577,17210,2
5.0,9.0,3.67,9,0.556,1.36,9255,2667,2213,994,7070,2
3.52,6.64,2.61,99,0.53,1.35,14871,7396,8487,3197,18200,2
5.82,9.09,2.55,33,0.64,2.29,24143,8826,9393,4132,23861,2
