Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
5.98,11.4,3.56,129,0.524,1.68,41895,14910,15165,9229,34360,3
6.15,10.92,3.62,117,0.563,1.7,41895,14910,15165,9229,34360,3
6.47,11.42,3.53,135,0.5660000000000001,1.83,41895,14910,15165,9229,34360,3
4.79,9.02,3.81,171,0.531,1.26,45638,16825,21130,9471,54846,3
5.83,10.75,4.78,501,0.5429999999999999,1.22,51687,12681,9828,4741,45531,3
5.78,10.65,4.67,540,0.5429999999999999,1.24,51687,12681,9828,4741,45531,3
5.95,10.38,3.46,478,0.573,1.72,1751,250,41,39,963,3
5.53,10.51,4.04,414,0.526,1.37,34226,8313,8221,3757,31508,3
5.66,10.75,4.09,414,0.527,1.38,34226,8313,8221,3757,31508,3
5.85,9.79,4.85,102,0.598,1.21,32871,11884,12298,6338,52178,3
5.81,9.31,5.25,48,0.624,1.11,32871,11884,12298,6338,52178,3
5.14,9.48,3.4,438,0.542,1.51,32003,10117,10723,6213,33587,3
5.14,9.4,3.38,444,0.546,1.52,32003,10117,10723,6213,33587,3
3.52,7.83,2.96,69,0.45,1.19,41225,13119,13577,7340,45845,3
3.58,8.16,3.37,57,0.439,1.06,41225,13119,13577,7340,45845,3
4.19,9.14,2.57,63,0.4579999999999999,1.63,47308,14136,12907,7484,42135,3
5.43,9.71,3.43,21,0.5589999999999999,1.58,47308,14136,12907,7484,42135,3
4.5,8.0,4.25,12,0.562,1.06,40556,12284,12558,6982,35526,3
4.83,9.09,3.5,351,0.531,1.38,57227,18017,20327,11958,61918,3
4.65,8.85,3.43,276,0.526,1.35,57227,18017,20327,11958,61918,3
4.83,9.12,3.7,441,0.529,1.31,57227,18017,20327,11958,61918,3
4.95,9.13,2.92,117,0.542,1.69,61298,19352,18835,10788,70639,3
4.99,9.71,3.39,255,0.514,1.47,61298,19352,18835,10788,70639,3
4.47,8.38,3.89,192,0.534,1.15,40952,16039,18891,8086,57234,3
4.67,8.67,2.0,9,0.5379999999999999,2.33,40952,16039,18891,8086,57234,3
5.25,9.16,4.35,405,0.573,1.21,49159,12622,12274,5621,52535,3
4.57,11.43,2.86,21,0.415,1.26,19405,6252,5327,3133,13751,3
