Goals Per Game,Shots Per Game,Saves Per Game,Total Matches,Shot Accuracy,Goals/Saves,Total Goals,Total Wins,Total Assists,Total MVP,Total Saves,Actual_Rank
5.44,10.89,4.0,54,0.5,1.36,37053,12697,15749,4807,39917,2
5.78,9.89,4.33,27,0.584,1.33,42517,13279,11642,6086,37875,2
4.95,8.73,4.33,387,0.5670000000000001,1.14,22081,7713,7696,3260,23242,1
2.57,6.0,2.29,21,0.429,1.12,1921,626,420,246,1013,3
5.8,10.1,2.8,30,0.574,2.07,927,267,267,182,794,2
5.09,8.81,3.06,141,0.5770000000000001,1.66,35418,8305,5136,2097,25742,2
4.4,9.2,3.9,30,0.478,1.13,30484,11073,11708,5002,31915,3
5.0,9.0,1.0,3,0.556,5.0,7000,2715,2753,1097,7982,1
6.31,9.55,1.69,126,0.6609999999999999,3.73,4442,1408,896,466,1979,1
5.11,9.8,4.8,132,0.522,1.07,40520,18830,20287,7503,52493,2
3.33,4.33,0.83,18,0.769,4.0,19872,5204,4123,2388,16644,3
5.4,11.47,4.27,45,0.471,1.27,13418,3495,3400,1794,12500,3
8.0,12.0,5.0,3,0.667,1.6,19618,5917,5560,2788,13515,2
5.02,9.5,4.49,381,0.529,1.12,43168,16116,15092,8181,39636,2
5.64,9.28,3.36,75,0.608,1.68,873,235,110,146,325,3
3.5,7.75,2.25,12,0.452,1.56,22340,8242,8172,4019,20456,1
4.08,6.0,1.75,36,0.6809999999999999,2.33,20968,6884,6803,3488,17253,1
5.26,9.45,3.23,93,0.556,1.63,62264,20803,18746,8145,55383,2
5.07,8.8,3.2,45,0.5760000000000001,1.58,37058,12906,14456,6817,50459,3
5.0,9.0,6.0,3,0.556,0.83,9430,2818,2640,1596,10800,1
6.0,10.88,4.18,51,0.551,1.44,9168,3964,3642,1802,10540,3
7.0,12.0,3.67,9,0.583,1.91,45389,16723,12871,6968,34059,3
4.22,7.67,2.33,27,0.551,1.81,76354,15763,12448,5873,59553,1
4.54,9.04,4.11,138,0.857,0.6,32757,10986,11562,6140,31249,2
5.24,10.51,4.27,189,0.498,1.23,50261,15667,17557,6891,52569,3
6.88,12.12,4.5,24,0.5670000000000001,1.53,23101,6600,5247,3246,16232,2
5.65,10.5,3.5,78,0.5379999999999999,1.62,45619,15043,14668,7524,40287,3
11.0,13.0,3.0,3,0.846,3.67,25470,9385,9537,4808,20503,3
4.14,8.79,2.64,42,0.472,1.57,42008,11832,9696,4712,38743,3
3.5,7.5,2.0,6,0.467,1.75,6246,1801,1288,807,3994,3
5.44,9.44,4.11,27,0.5760000000000001,1.32,16515,5923,6358,2856,13887,1
5.45,10.37,4.46,411,0.525,1.22,51863,13774,13877,6882,67396,3
6.84,11.08,3.16,75,0.617,2.16,5066,1300,1078,816,3937,2
4.67,8.67,2.0,9,0.5379999999999999,2.33,40952,16039,18891,8086,57234,3
