0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198094742321/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198158730891/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/MeistroMatt1132/mmr?playlist=10
3.97,7.12,3.31,204,55.8%,1.20,18913,6122,5672,2857,18012,https://rocketleague.tracker.network/rocket-league/profile/epic/Ernie11111101_YT/mmr?playlist=10
4.12,7.88,2.12,24,52.4%,1.94,9598,4621,3953,1138,10743,https://rocketleague.tracker.network/rocket-league/profile/epic/LaazzR/mmr?playlist=10
3.83,5.33,1.17,18,71.9%,3.29,10734,3504,3175,1447,7119,https://rocketleague.tracker.network/rocket-league/profile/epic/Szym4cH%20Loves%20U/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ahuk./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/TZX%2072/mmr?playlist=10
7.00,9.00,2.00,3,77.8%,3.50,3128,1380,1050,656,2901,https://rocketleague.tracker.network/rocket-league/profile/epic/Chicken_ods/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Spidey1ay1ay/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/ItsYeboii./mmr?playlist=10
5.42,11.16,4.11,57,48.6%,1.32,8447,2444,1926,1053,6999,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198928916875/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/BombheadBen5/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198191045161/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Ant13274/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/readinghelpline/mmr?playlist=10
3.27,7.09,3.36,33,46.2%,0.97,1322,435,485,265,1134,https://rocketleague.tracker.network/rocket-league/profile/epic/Tv_Nicoss38/mmr?playlist=10
5.69,9.38,3.62,39,60.7%,1.57,74801,16622,14418,6393,51171,https://rocketleague.tracker.network/rocket-league/profile/steam/76561197987212586/mmr?playlist=10
8.00,13.50,4.25,12,59.3%,1.88,28453,11555,12076,3717,19912,https://rocketleague.tracker.network/rocket-league/profile/steam/76561197968869452/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/shadow15376776/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561197984590063/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198033526078/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/SDF%20Sp4wn/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198025280167/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Wisxu/mmr?playlist=10
