0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Zortea/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198452046841/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Freveo/mmr?playlist=10
6.00,8.33,2.00,9,72.0%,3.00,19528,8759,9454,3648,18492,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198856796515/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198999840633/mmr?playlist=10
5.00,11.43,6.29,21,43.8%,0.80,2005,574,727,312,2181,https://rocketleague.tracker.network/rocket-league/profile/epic/DSAVE_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Pumpkinspace5/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/Maykhoo/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Sun-Tob1/mmr?playlist=10
5.22,9.48,2.93,81,55.1%,1.78,27908,9484,8450,4792,20628,https://rocketleague.tracker.network/rocket-league/profile/epic/wikixifr./mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199090861542/mmr?playlist=10
5.06,9.65,3.91,102,52.4%,1.29,11312,4041,5034,1871,12193,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199071424956/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199013453414/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/m%20a%20y%20c%20r%20d%20b%20l/mmr?playlist=10
4.67,7.67,1.33,9,60.9%,3.50,34427,10009,9766,5896,23667,https://rocketleague.tracker.network/rocket-league/profile/psn/C9-CAMERON13/mmr?playlist=10
4.00,11.00,4.00,3,38.6%,0.97,27908,9484,8450,4792,20628,https://rocketleague.tracker.network/rocket-league/profile/psn/wikixifr/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198182568709/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Trocaa213/mmr?playlist=10
4.75,9.25,4.50,12,51.4%,1.06,44595,15195,14469,8176,33804,https://rocketleague.tracker.network/rocket-league/profile/steam/76561197987780755/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199042465540/mmr?playlist=10
6.40,10.70,3.30,30,59.8%,1.94,8207,2259,2017,1519,9069,https://rocketleague.tracker.network/rocket-league/profile/epic/Claptic%20Bot/mmr?playlist=10
