0,1,2,3,4,5,6,7,8,9,10,11
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/FadesAU/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Fades_mate/mmr?playlist=10
8.00,14.00,4.00,3,57.1%,2.00,22124,7575,8145,3539,23148,https://rocketleague.tracker.network/rocket-league/profile/psn/XI5X-_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198798682865/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/DZ%20ZPS/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199015028534/mmr?playlist=10
8.57,16.14,4.43,21,53.1%,1.94,44943,15116,14441,8189,29606,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198353612854/mmr?playlist=10
5.41,9.46,3.41,78,57.2%,1.59,438,69,11,16,271,https://rocketleague.tracker.network/rocket-league/profile/epic/ImagineMechs/mmr?playlist=10
18.00,48.00,11.00,3,39.0%,1.42,44943,15116,14441,8189,29606,https://rocketleague.tracker.network/rocket-league/profile/epic/impoh%20%E3%83%84/mmr?playlist=10
19.00,51.00,13.00,3,44.4%,0.80,44943,15116,14441,8189,29606,https://rocketleague.tracker.network/rocket-league/profile/psn/Impxh/mmr?playlist=10
5.89,11.11,4.00,27,53.0%,1.47,29261,7907,6099,3295,20105,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198338187560/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/mzzxyy/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/JDGP/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199026492829/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Smashy90/mmr?playlist=10
3.62,6.77,2.23,39,53.4%,1.62,29261,7907,6099,3295,20105,https://rocketleague.tracker.network/rocket-league/profile/epic/RRX100/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/psn/Rayanx100/mmr?playlist=10
6.80,10.80,6.60,15,63.0%,1.03,34784,10825,9638,4827,30452,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198452866952/mmr?playlist=10
5.67,8.33,6.17,18,68.0%,0.92,34784,10825,9638,4827,30452,https://rocketleague.tracker.network/rocket-league/profile/epic/TriToNRL/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/CreepyTick243/mmr?playlist=10
4.08,7.92,3.75,36,51.6%,1.09,32514,11448,10844,6802,31857,https://rocketleague.tracker.network/rocket-league/profile/epic/A7maDttt/mmr?playlist=10
4.90,8.60,4.00,30,57.0%,1.23,18158,4358,4042,1546,15821,https://rocketleague.tracker.network/rocket-league/profile/xbl/iBambi10/mmr?playlist=10
3.81,7.68,2.32,111,49.6%,1.64,60475,14857,12875,6160,55478,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199029556479/mmr?playlist=10
6.79,10.91,3.65,102,62.3%,1.86,1921,626,420,246,1013,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198968091983/mmr?playlist=10
2.57,6.00,2.29,21,42.9%,1.12,1921,626,420,246,1013,https://rocketleague.tracker.network/rocket-league/profile/epic/ExtremeLizard91/mmr?playlist=10
5.72,9.69,2.78,96,59.0%,2.06,3516,958,873,521,2489,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199072895411/mmr?playlist=10
4.22,7.74,2.58,411,54.5%,1.63,10745,1601,482,393,6433,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199086180045/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Meshoqh/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/Kiernan%E3%83%83/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/xbl/RobKiernxn/mmr?playlist=10
4.76,9.18,3.00,51,51.9%,1.59,33690,9833,9882,4202,32418,https://rocketleague.tracker.network/rocket-league/profile/steam/76561198308155770/mmr?playlist=10
0,0,0,0,0,0,0,0,0,0,0,https://rocketleague.tracker.network/rocket-league/profile/epic/Muhammed%D9%85/mmr?playlist=10
4.00,4.00,1.00,3,100.0%,4.00,30231,10462,11294,5066,30737,https://rocketleague.tracker.network/rocket-league/profile/psn/llareh/mmr?playlist=10
5.29,10.23,3.69,231,51.6%,1.43,24243,7287,8117,3650,24974,https://rocketleague.tracker.network/rocket-league/profile/steam/76561199031413358/mmr?playlist=10
5.42,11.02,3.49,129,49.2%,1.55,24243,7287,8117,3650,24974,https://rocketleague.tracker.network/rocket-league/profile/epic/Dralii_/mmr?playlist=10
1,1,1,1,1,1,1,1,1,1,1,https://rocketleague.tracker.network/rocket-league/profile/epic/JustFefe./mmr?playlist=10
